Time_Index,NG,nuclear_fuel,NGCCS
0,0.056877747,0.0,0.005388525
1,8.661,0.66,9.61608
2,8.661,0.66,9.616079999999998
3,8.661,0.66,9.61608
4,8.661,0.66,9.61608
5,8.661,0.66,9.61608
6,8.661,0.66,9.61608
7,8.661,0.66,9.61608
8,8.661,0.66,9.616080000000002
9,8.661,0.66,9.61608
10,8.661,0.66,9.61608
11,8.661,0.66,9.616080000000002
12,8.661,0.66,9.61608
13,8.661,0.66,9.61608
14,8.661,0.66,9.61608
15,8.661,0.66,9.616080000000002
16,8.661,0.66,9.61608
17,8.661,0.66,9.61608
18,8.661,0.66,9.61608
19,8.661,0.66,9.616080000000006
20,8.661,0.66,9.61608
21,8.661,0.66,9.616080000000002
22,8.661,0.66,9.61608
23,8.661,0.66,9.61608
24,8.661,0.66,9.61608
25,8.661,0.66,9.61608
26,8.661,0.66,9.616080000000007
27,8.661,0.66,9.616079999999998
28,8.661,0.66,9.616080000000002
29,8.661,0.66,9.61608
30,8.661,0.66,9.61608
31,8.661,0.66,9.616080000000002
32,8.661,0.66,9.616079999999998
33,8.661,0.66,9.616079999999998
34,8.661,0.66,9.61608
35,8.661,0.66,9.616080000000004
36,8.661,0.6599999999999995,9.616080000000007
37,8.661,0.66,9.61608
38,8.661,0.66,9.616080000000002
39,8.661,0.66,9.61608
40,8.661,0.66,9.61608
41,8.661,0.66,9.61608
42,8.661,0.66,9.61608
43,8.661,0.66,9.61608
44,8.661,0.66,9.61608
45,8.661,0.66,9.616080000000007
46,8.661,0.66,9.61608
47,8.661,0.66,9.616080000000002
48,8.661,0.66,9.61608
49,8.661,0.66,9.61608
50,8.661,0.66,9.61608
51,8.661,0.66,9.61608
52,8.661,0.66,9.616080000000002
53,8.661,0.66,9.61608
54,8.661,0.66,9.61608
55,8.661,0.66,9.61608
56,8.661,0.66,9.616080000000004
57,8.661,0.66,9.61608
58,8.661,0.66,9.61608
59,8.661,0.66,9.616080000000007
60,8.661,0.66,9.61608
61,8.661,0.66,9.61608
62,8.661,0.66,9.61608
63,8.661,0.66,9.61608
64,8.661,0.66,9.61608
65,8.661,0.66,9.616080000000006
66,8.661,0.66,9.61608
67,8.661,0.66,9.616079999999998
68,8.661,0.66,9.61608
69,8.661,0.66,9.61608
70,8.661,0.66,9.616080000000006
71,8.661,0.66,9.61608
72,8.661,0.66,9.61608
73,8.661,0.66,9.61608
74,8.661,0.66,9.61608
75,8.661,0.66,9.61608
76,8.661,0.66,9.61608
77,8.661,0.66,9.61608
78,8.661,0.66,9.61608
79,8.661,0.66,9.61608
80,8.661,0.66,9.61608
81,8.661,0.66,9.61608
82,8.661,0.66,9.616080000000002
83,8.661,0.66,9.61608
84,8.661,0.66,9.616079999999998
85,8.661,0.66,9.61608
86,8.661,0.66,9.616079999999998
87,8.661,0.66,9.61608
88,8.661,0.66,9.616080000000002
89,8.274999999999991,0.6599999999999996,9.23007999999999
90,8.275,0.66,9.23008
91,8.275,0.66,9.23008
92,8.275,0.66,9.23008
93,8.275,0.66,9.23008
94,8.275,0.66,9.23008
95,8.274999999999995,0.66,9.23007999999999
96,8.275,0.66,9.23008
97,8.275000000000002,0.66,9.230079999999997
98,8.275,0.66,9.23008
99,8.275000000000004,0.66,9.230079999999994
100,8.275,0.66,9.23008
101,8.274999999999995,0.66,9.23007999999999
102,8.275,0.66,9.23008
103,8.275000000000002,0.66,9.230079999999996
104,8.275,0.66,9.23008
105,8.275,0.66,9.23008
106,8.275,0.66,9.23008
107,8.275,0.66,9.23008
108,8.27500000000002,0.6599999999999975,9.230080000000028
109,8.275,0.66,9.23008
110,8.275,0.66,9.23008
111,8.275,0.66,9.23008
112,8.275,0.66,9.23008
113,8.275,0.66,9.23008
114,8.275,0.66,9.23008
115,8.275000000000002,0.66,9.230079999999997
116,8.275,0.66,9.23008
117,8.275,0.66,9.23008
118,8.275,0.66,9.23008
119,8.275000000000002,0.66,9.230079999999997
120,8.275,0.66,9.23008
121,8.275,0.66,9.23008
122,8.275,0.66,9.23008
123,8.275,0.66,9.23008
124,8.275,0.66,9.23008
125,8.275000000000002,0.66,9.230079999999997
126,8.275,0.66,9.23008
127,8.275,0.66,9.23008
128,8.275,0.66,9.23008
129,8.275000000000002,0.66,9.230079999999996
130,8.275,0.66,9.23008
131,8.275,0.66,9.23008
132,8.275,0.66,9.23008
133,8.275000000000002,0.66,9.230079999999996
134,8.275,0.66,9.23008
135,8.275,0.66,9.23008
136,8.27499999999999,0.6599999999999993,9.230079999999997
137,8.275,0.66,9.23008
138,8.275,0.66,9.23008
139,8.275,0.66,9.23008
140,8.274999999999997,0.66,9.23007999999999
141,8.275,0.66,9.23008
