MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate,Time_Index
1,0.0,1,0.4105,0.0,1,0.7,1,1,1,0.0,0.0,0.0,0.969,0.844,0.7815,1
1,0.0,1,0.3575,0.0,1,0.6255,1,1,1,0.0,0.0,0.0,0.968,0.864,0.554,2
1,0.0,1,0.339,0.0,1,0.517,1,1,1,0.0,0.0,0.0,0.953,0.7745,0.43,3
1,0.0,1,0.341,0.0,1,0.405,1,1,1,0.0,0.0,0.0,0.95,0.758,0.391,4
1,0.0,1,0.283,0.0,1,0.332,1,1,1,0.0,0.0,0.0,0.917,0.789,0.338,5
1,0.127,1,0.287,0.171,1,0.337,1,1,1,0.0,0.0,0.0,0.876,0.816,0.387,6
1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183,7
1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179,8
1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202,9
1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268,10
1,0.601,1,0.16349999999999998,0.61855,1,0.198,1,1,1,0.7324999999999999,0.8285,0.77,0.721,0.5695,0.28600000000000003,11
1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223,12
1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202,13
1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232,14
1,0.034,1,0.22,0.0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291,15
1,0.0,1,0.237,0.0,1,0.145,1,1,1,0.0,0.0,0.0,0.717,0.642,0.241,16
1,0.0,1,0.24,0.0,1,0.16,1,1,1,0.0,0.0,0.0,0.768,0.764,0.246,17
1,0.0,1,0.25,0.0,1,0.187,1,1,1,0.0,0.0,0.0,0.797,0.816,0.226,18
1,0.0,1,0.235,0.0,1,0.21,1,1,1,0.0,0.0,0.0,0.846,0.819,0.172,19
1,0.0,1,0.239,0.0,1,0.221,1,1,1,0.0,0.0,0.0,0.842,0.837,0.202,20
