Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,1,8736,200928.0,1,11998.282403627723,1,1,0,1
,,,,,,,2,11362.61181270705,1,0,1,1
,,,,,,,3,10877.812406340332,1,0,1,1
,,,,,,,4,10632.395279465896,1,0,1,1
,,,,,,,5,10599.203618864025,1,0,1,1
,,,,,,,6,10795.33615878417,1,0,1,1
,,,,,,,7,11192.630278109591,1,0,1,1
,,,,,,,8,11536.91832126172,1,0,1,1
,,,,,,,9,12163.536641109158,1,0,1,1
,,,,,,,10,12771.044610913093,1,0,1,1
,,,,,,,11,13155.665550735983,1,0,1,1
,,,,,,,12,13311.968097933883,1,0,1,1
,,,,,,,13,13382.37465072573,1,0,1,1
,,,,,,,14,13251.31788174319,1,0,1,1
,,,,,,,15,13109.297806683067,1,0,1,1
,,,,,,,16,13175.681127886808,1,0,1,1
,,,,,,,17,14462.109428183552,1,0,1,1
,,,,,,,18,15672.498651465101,1,0,1,1
,,,,,,,19,15566.888822277331,1,0,1,1
,,,,,,,20,15095.164918571958,1,0,1,1
,,,,,,,21,14534.929919928261,1,0,1,1
,,,,,,,22,13751.40556814471,1,0,1,1
,,,,,,,23,12761.690597470748,1,0,1,1
,,,,,,,24,11687.487763446572,1,0,1,1
,,,,,,,25,10783.266464019853,1,0,1,1
,,,,,,,26,10242.141815419658,1,0,1,1
,,,,,,,27,9947.440101590928,1,0,1,2
,,,,,,,28,10144.5784494081,1,0,1,1
,,,,,,,29,10697.77279277261,1,0,1,1
,,,,,,,30,11519.517844643166,1,0,1,1
,,,,,,,31,12188.279515376007,1,0,1,1
,,,,,,,32,13039.192996260326,1,0,1,1
,,,,,,,33,13920.984779583358,1,0,1,1
,,,,,,,34,14552.933881285033,1,0,1,1
,,,,,,,35,14824.401432692453,1,0,1,1
,,,,,,,36,14812.130576348733,1,0,1,1
,,,,,,,37,14695.859183452483,1,0,1,1
,,,,,,,38,14633.19735146774,1,0,1,1
,,,,,,,39,14845.724560109415,1,0,1,1
,,,,,,,40,16232.230746160283,1,0,1,1
,,,,,,,41,17615.719508520073,1,0,1,1
,,,,,,,42,17477.92382662746,1,0,1,1
,,,,,,,43,17048.443854597193,1,0,1,1
,,,,,,,44,16360.471253031146,1,0,1,1
,,,,,,,45,15281.239379521838,1,0,1,1
,,,,,,,46,13941.503260682695,1,0,1,1
,,,,,,,47,12708.38277892835,1,0,1,1
,,,,,,,48,11892.672574439954,1,0,1,1
,,,,,,,49,11483.308760350215,1,0,1,1
,,,,,,,50,11304.274954679518,1,0,1,1
,,,,,,,51,11347.524694251653,1,0,1,1
,,,,,,,52,11761.917547826524,1,0,1,1
,,,,,,,53,12964.863792670078,1,0,1,1
,,,,,,,54,15103.211381748168,1,0,1,1
,,,,,,,55,16297.407097887592,1,0,1,1
,,,,,,,56,16500.58029308692,1,0,1,1
,,,,,,,57,16649.842185005637,1,0,1,1
,,,,,,,58,16810.369125371046,1,0,1,1
,,,,,,,59,16852.11015309764,1,0,1,1
,,,,,,,60,16793.974456649517,1,0,1,1
,,,,,,,61,16752.233428922922,1,0,1,1
,,,,,,,62,16672.372281899028,1,0,1,1
,,,,,,,63,16883.390778695164,1,0,1,1
,,,,,,,64,18197.881119318943,1,0,1,1
,,,,,,,65,19620.294647293653,1,0,1,1
,,,,,,,66,19654.492115792553,1,0,1,1
,,,,,,,67,19319.558086082765,1,0,1,1
,,,,,,,68,18685.899110956143,1,0,1,1
,,,,,,,69,17577.49880843307,1,0,1,1
,,,,,,,70,16098.961199804287,1,0,1,1
,,,,,,,71,14802.47482053728,1,0,1,1
,,,,,,,72,13997.828502916173,1,0,1,1
,,,,,,,73,13575.389186165092,1,0,1,1
,,,,,,,74,13373.221798862789,1,0,1,1
,,,,,,,75,13407.419267361687,1,0,1,1
,,,,,,,76,13763.475262909025,1,0,1,1
