Time_Index,CT_NG,ME_NG,MA_NG
0,0.05306,0.05306,0.05306
1,5.45,5.45,5.28
2,5.45,5.45,5.28
3,5.45,5.45,5.28
4,5.45,5.45,5.28
5,5.45,5.45,5.28
6,5.45,5.45,5.28
7,5.45,5.45,5.28
8,5.450000000000001,5.450000000000001,5.28
9,5.45,5.45,5.28
10,5.450000000000001,5.450000000000001,5.28
11,5.45,5.45,5.28
12,5.450000000000001,5.450000000000001,5.28
13,5.45,5.45,5.28
14,5.45,5.45,5.28
15,5.45,5.45,5.28
16,5.45,5.45,5.28
17,5.45,5.45,5.28
18,5.45,5.45,5.28
19,5.45,5.45,5.28
20,5.449999999999998,5.449999999999998,5.28
21,5.45,5.45,5.28
22,5.45,5.45,5.28
23,5.45,5.45,5.28
24,5.450000000000001,5.450000000000001,5.28
25,5.45,5.45,5.28
26,5.45,5.45,5.28
27,5.45,5.45,5.28
28,5.45,5.45,5.28
29,5.45,5.45,5.28
30,5.45,5.45,5.28
31,5.45,5.45,5.28
32,5.45,5.45,5.28
33,5.45,5.45,5.28
34,5.45,5.45,5.28
35,5.45,5.45,5.28
36,5.450000000000001,5.450000000000001,5.28
37,5.45,5.45,5.28
38,5.45,5.45,5.28
39,5.45,5.45,5.28
40,5.45,5.45,5.28
41,5.45,5.45,5.28
42,5.45,5.45,5.28
43,5.45,5.45,5.28
44,5.45,5.45,5.28
45,5.449999999999999,5.449999999999999,5.28
46,5.45,5.45,5.28
47,5.45,5.45,5.28
48,5.45,5.45,5.28
49,5.45,5.45,5.28
50,5.45,5.45,5.28
51,5.45,5.45,5.28
52,5.450000000000001,5.450000000000001,5.28
53,5.45,5.45,5.28
54,5.45,5.45,5.28
55,5.45,5.45,5.28
56,5.45,5.45,5.28
57,5.45,5.45,5.28
58,5.45,5.45,5.28
59,5.449999999999999,5.449999999999999,5.28
60,5.450000000000001,5.450000000000001,5.28
61,5.45,5.45,5.28
62,5.45,5.45,5.28
63,5.45,5.45,5.28
64,5.450000000000001,5.450000000000001,5.28
65,5.45,5.45,5.28
66,5.45,5.45,5.28
67,5.45,5.45,5.28
68,5.450000000000001,5.450000000000001,5.28
69,5.45,5.45,5.28
70,5.45,5.45,5.28
71,5.45,5.45,5.28
72,5.45,5.45,5.28
73,5.45,5.45,5.28
74,5.45,5.45,5.28
75,5.45,5.45,5.28
76,5.45,5.45,5.28
77,5.450000000000001,5.450000000000001,5.28
78,5.450000000000001,5.450000000000001,5.28
79,5.45,5.45,5.28
80,5.450000000000001,5.450000000000001,5.28
81,5.45,5.45,5.28
82,5.45,5.45,5.28
83,5.45,5.45,5.28
84,5.45,5.45,5.28
85,5.45,5.45,5.28
86,5.45,5.45,5.28
87,5.449999999999998,5.449999999999998,5.28
88,5.45,5.45,5.28
89,5.45,5.45,5.28
90,5.45,5.45,5.28
91,5.45,5.45,5.28
92,5.45,5.45,5.28
93,5.45,5.45,5.28
94,5.45,5.45,5.28
95,5.45,5.45,5.28
96,5.450000000000001,5.450000000000001,5.28
97,5.45,5.45,5.28
98,5.45,5.45,5.28
99,5.450000000000001,5.450000000000001,5.28
100,5.45,5.45,5.28
101,5.45,5.45,5.28
102,5.45,5.45,5.28
103,5.45,5.45,5.28
104,5.45,5.45,5.28
105,5.450000000000001,5.450000000000001,5.28
106,5.45,5.45,5.28
107,5.45,5.45,5.28
108,5.45,5.45,5.28
109,5.45,5.45,5.28
110,5.450000000000001,5.450000000000001,5.28
111,4.09,4.09,3.98
112,4.09,4.09,3.98
113,4.090000000000001,4.090000000000001,3.979999999999998
114,4.09,4.09,3.98
115,4.09,4.09,3.98
116,4.09,4.09,3.98
117,4.09,4.09,3.98
118,4.09,4.09,3.98
119,4.09,4.09,3.98
120,4.09,4.09,3.98
121,4.09,4.09,3.979999999999999
122,4.09,4.09,3.98
123,4.09,4.09,3.98
124,4.09,4.09,3.98
125,4.09,4.09,3.979999999999999
126,4.09,4.09,3.98
127,4.09,4.09,3.98
128,4.09,4.09,3.98
129,4.090000000000001,4.090000000000001,3.980000000000001
130,4.09,4.09,3.98
131,4.09,4.09,3.9799999999999995
132,4.09,4.09,3.98
133,4.09,4.09,3.98
134,4.089999999999999,4.089999999999999,3.980000000000001
135,4.09,4.09,3.98
136,4.090000000000001,4.090000000000001,3.980000000000001
137,4.09,4.09,3.98
138,4.09,4.09,3.98
139,4.09,4.09,3.98
140,4.09,4.09,3.98
141,4.09,4.09,3.98
142,4.09,4.09,3.98
143,4.090000000000002,4.090000000000002,3.9799999999999986
144,4.09,4.09,3.98
145,4.09,4.09,3.98
146,4.09,4.09,3.9799999999999995
147,4.09,4.09,3.98
148,4.09,4.09,3.98
149,4.09,4.09,3.979999999999999
150,4.09,4.09,3.98
151,4.090000000000001,4.090000000000001,3.9800000000000004
152,4.09,4.09,3.98
153,4.09,4.09,3.979999999999999
154,4.09,4.09,3.98
155,4.09,4.09,3.9799999999999995
156,4.09,4.09,3.98
