MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.0,1,0.47914353950000005,0.0,1,0.816354803625,1,1,1,1
1,0.1779,1,0.329338044,0.2003,1,0.526324749,1,1,1,2
1,0.429,1,1.52e-05,0.4221,1,0.079201177,1,1,1,3
1,0.15376686746987953,1,0.6035115619759036,0.15973192771084338,1,0.5596143018915662,1,1,1,4
1,0.2056,1,0.796525359,0.1964,1,0.616902471,1,1,1,5
1,0.4097,1,0.6475963,0.35,1,0.659731388,1,1,1,6
1,0.54234,1,0.826787603,0.50158,1,0.47601063239999997,1,1,1,7
1,0.1304681081081081,1,0.633542633464865,0.1397264864864865,1,0.7002719898540541,1,1,1,8
1,0.2391,1,0.058440641,0.2371,1,0.694000363,1,1,1,9
1,0.14179965986394558,1,0.5536058499183674,0.14046734693877555,1,0.6605884332244898,1,1,1,10
1,0.4365,1,0.974582016,0.3833,1,0.189681008,1,1,1,11
1,0.195,1,0.989060044,0.1751,1,0.334965825,1,1,1,12
1,0.1728493670886076,1,0.6867770682658229,0.1820987341772152,1,0.5621698449493671,1,1,1,13
1,0.17754310344827584,1,0.557818931795977,0.18168060344827586,1,0.6482681340632184,1,1,1,14
1,0.13855436893203885,1,0.512693673553398,0.1462485436893204,1,0.6335586584660194,1,1,1,15
1,0.156,1,0.570405245,0.166,1,0.758821309,1,1,1,16
1,0.2233621052631579,1,0.7790481340526315,0.22991684210526314,1,0.6824452287578948,1,1,1,17
1,0.1557,1,0.938784659,0.1773,1,0.49563694,1,1,1,18
1,0.1987695652173913,1,0.3978819403913043,0.23927826086956525,1,0.25057134400000003,1,1,1,19
1,0.1634,1,0.904002309,0.1727,1,0.947718859,1,1,1,20
1,0.3936,1,0.959290564,0.403,1,0.855734825,1,1,1,21
1,0.63395,1,0.8786536008750001,0.6473375,1,0.463790066625,1,1,1,22
1,0.1252,1,0.785220444,0.1701,1,0.591436982,1,1,1,23
1,0.1705592356687898,1,0.3812039805605096,0.1821484076433121,1,0.41049161487261143,1,1,1,24
1,0.1781,1,0.430206776,0.1668,1,0.878085494,1,1,1,25
1,0.3859,1,0.129357621,0.3594,1,0.643517971,1,1,1,26
1,0.6454571428571428,1,0.04557766785714285,0.6337428571428572,1,0.4673402182857142,1,1,1,27
1,0.3592,1,0.216820419,0.4068,1,0.66914618,1,1,1,28
1,0.19879125364431482,1,0.4227247821428571,0.20204460641399416,1,0.5435641599970845,1,1,1,29
1,0.20843125484120836,1,0.396025409236251,0.2176949651432998,1,0.4615668043605732,1,1,1,30
1,0.3179,1,0.909441948,0.2005,1,0.565150857,1,1,1,31
1,0.18681343523732902,1,0.24606091970796462,0.19193386967015286,1,0.33960610020917137,1,1,1,32
1,0.4062428571428572,1,0.9803663661428571,0.3756,1,0.9915001648571428,1,1,1,33
1,0.15982029962546818,1,0.4297235431947566,0.16303812734082396,1,0.49170697645692885,1,1,1,34
1,0.2972,1,0.843926191,0.3518,1,0.705236018,1,1,1,35
1,0.5632,1,0.9870571591666666,0.6067333333333332,1,0.7464119988333334,1,1,1,36
1,0.3024,1,1.0,0.3288,1,0.81599462,1,1,1,37
1,0.0126125,1,0.9650954343125,0.0149875,1,0.9002186879375,1,1,1,38
1,0.3693,1,0.84231931,0.3734,1,0.899743319,1,1,1,39
1,0.6139833333333332,1,0.6769734719999999,0.64715,1,0.908056716,1,1,1,40
1,0.3333,1,0.662500441,0.3868,1,0.851286769,1,1,1,41
1,0.15348177966101695,1,0.20964084863771185,0.15659110169491522,1,0.1697161694173729,1,1,1,42
1,0.2275,1,0.868510902,0.2309,1,0.02394101,1,1,1,43
1,0.1477695652173913,1,0.8297823874782608,0.1452608695652174,1,0.5399757024782609,1,1,1,44
1,0.2782,1,0.326060086,0.199,1,0.75648272,1,1,1,45
1,0.13861320754716983,1,0.15164763823899371,0.13896100628930816,1,0.1668599415408805,1,1,1,46
1,0.11482153846153845,1,0.4835563427230769,0.1168425174825175,1,0.5288663360363636,1,1,1,47
1,0.0,1,0.3516875606666667,0.0,1,0.6326549453333333,1,1,1,48
1,0.0,1,0.6349312364999999,0.0,1,0.8411821125000001,1,1,1,49
