Time_Index,CT_NG,ME_NG,MA_NG
0,0.05306,0.05306,0.05306
1,5.45,5.45,5.28
2,5.45,5.45,5.28
3,5.45,5.45,5.28
4,5.45,5.45,5.28
5,5.45,5.45,5.28
6,5.45,5.45,5.28
7,5.45,5.45,5.28
8,5.45,5.45,5.28
9,5.449999999999998,5.449999999999998,5.28
10,5.45,5.45,5.28
11,5.45,5.45,5.28
12,5.45,5.45,5.28
13,5.45,5.45,5.28
14,5.45,5.45,5.28
15,5.449999999999999,5.449999999999999,5.28
16,5.45,5.45,5.28
17,5.45,5.45,5.28
18,5.450000000000001,5.450000000000001,5.28
19,5.45,5.45,5.28
20,5.45,5.45,5.28
21,5.45,5.45,5.28
22,5.45,5.45,5.28
23,5.45,5.45,5.28
24,5.45,5.45,5.28
25,5.45,5.45,5.28
26,5.450000000000001,5.450000000000001,5.28
27,5.45,5.45,5.28
28,5.45,5.45,5.28
29,5.45,5.45,5.28
30,5.45,5.45,5.28
31,5.45,5.45,5.28
32,5.45,5.45,5.279999999999999
33,5.45,5.45,5.28
34,5.45,5.45,5.28
35,5.45,5.45,5.2799999999999985
36,5.45,5.45,5.28
37,5.45,5.45,5.28
38,5.45,5.45,5.28
39,5.45,5.45,5.28
40,5.45,5.45,5.28
41,5.450000000000001,5.450000000000001,5.28
42,5.45,5.45,5.28
43,5.450000000000001,5.450000000000001,5.28
44,5.45,5.45,5.28
45,5.45,5.45,5.28
46,5.449999999999998,5.449999999999998,5.28
47,5.45,5.45,5.28
48,5.449999999999999,5.449999999999999,5.28
49,5.45,5.45,5.28
50,5.45,5.45,5.2799999999999985
51,5.45,5.45,5.28
52,5.449999999999998,5.449999999999998,5.28
53,5.45,5.45,5.28
54,5.45,5.45,5.28
55,5.45,5.45,5.28
56,5.45,5.45,5.28
57,5.45,5.45,5.28
58,5.45,5.45,5.28
59,5.45,5.45,5.28
60,5.450000000000001,5.450000000000001,5.28
61,5.45,5.45,5.28
62,5.45,5.45,5.28
63,5.45,5.45,5.28
64,5.449999999999998,5.449999999999998,5.28
65,5.45,5.45,5.28
66,5.45,5.45,5.28
67,4.090000000000001,4.090000000000001,3.9799999999999995
68,4.09,4.09,3.98
69,4.09,4.09,3.98
70,4.09,4.09,3.98
71,4.090000000000001,4.090000000000001,3.979999999999998
72,4.09,4.09,3.98
73,4.09,4.09,3.9799999999999986
74,4.09,4.09,3.98
75,4.09,4.09,3.98
76,4.09,4.09,3.98
77,4.09,4.09,3.98
78,4.09,4.09,3.9799999999999995
79,4.09,4.09,3.98
80,4.09,4.09,3.98
81,4.09,4.09,3.98
82,4.09,4.09,3.98
83,4.09,4.09,3.9799999999999995
84,4.09,4.09,3.98
85,4.09,4.09,3.98
86,4.09,4.09,3.98
87,4.09,4.09,3.98
88,4.09,4.09,3.98
89,3.14,3.14,3.69
90,3.14,3.14,3.69
91,3.14,3.14,3.6900000000000004
92,3.14,3.14,3.69
93,3.14,3.14,3.6899999999999995
94,3.14,3.14,3.69
95,3.14,3.14,3.69
96,3.14,3.14,3.69
97,3.14,3.14,3.69
98,3.14,3.14,3.69
99,3.14,3.14,3.69
100,3.14,3.14,3.69
101,3.14,3.14,3.69
102,3.14,3.14,3.6899999999999995
103,3.14,3.14,3.69
104,3.14,3.14,3.69
105,3.14,3.14,3.69
106,3.14,3.14,3.69
107,3.14,3.14,3.69
108,3.14,3.14,3.69
109,3.14,3.14,3.69
110,3.14,3.14,3.69
111,3.14,3.14,3.69
112,3.14,3.14,3.69
113,3.14,3.14,3.69
114,3.14,3.14,3.69
115,3.14,3.14,3.6899999999999995
116,3.14,3.14,3.69
117,3.14,3.14,3.69
118,3.14,3.14,3.69
119,3.14,3.14,3.69
120,3.14,3.14,3.69
121,3.14,3.14,3.69
122,3.14,3.14,3.69
123,3.14,3.14,3.69
124,3.14,3.14,3.69
125,3.14,3.14,3.69
126,3.14,3.14,3.69
127,3.14,3.14,3.69
128,3.14,3.14,3.69
129,3.14,3.14,3.69
130,3.14,3.14,3.69
131,3.14,3.14,3.69
132,3.14,3.14,3.69
133,3.14,3.14,3.69
134,3.14,3.14,3.69
135,3.14,3.14,3.69
136,3.14,3.14,3.69
137,3.14,3.14,3.69
138,3.1399999999999997,3.1399999999999997,3.6899999999999995
139,3.14,3.14,3.69
140,3.14,3.14,3.69
141,3.14,3.14,3.6900000000000004
142,3.14,3.14,3.69
143,3.1399999999999997,3.1399999999999997,3.6899999999999995
144,3.14,3.14,3.69
145,3.14,3.14,3.69
146,3.14,3.14,3.69
147,3.14,3.14,3.69
148,3.14,3.14,3.69
149,3.1399999999999997,3.1399999999999997,3.689999999999999
150,3.14,3.14,3.69
151,3.139999999999999,3.139999999999999,3.69
152,2.129999999999999,2.129999999999999,3.1800000000000006
153,2.13,2.13,3.18
154,2.13,2.13,3.18
155,2.1299999999999994,2.1299999999999994,3.18
156,2.13,2.13,3.18
157,2.13,2.13,3.18
158,2.13,2.13,3.18
