Time_Index,NG,nuclear_fuel,NGCCS
0,0.056877747,0.0,0.005388525
1,8.661,0.66,9.61608
2,8.661,0.66,9.616080000000006
3,8.660999999999994,0.6599999999999991,9.616080000000007
4,8.661,0.66,9.616079999999998
5,8.661,0.66,9.616080000000002
6,8.661,0.66,9.616079999999998
7,8.661,0.66,9.616080000000002
8,8.661,0.66,9.61608
9,8.661,0.66,9.61608
10,8.661,0.66,9.616080000000007
11,8.661,0.66,9.61608
12,8.661,0.66,9.61608
13,8.661,0.66,9.61608
14,8.661,0.66,9.61608
15,8.661,0.66,9.61608
16,8.661,0.66,9.61608
17,8.661,0.66,9.61608
18,8.661,0.66,9.616079999999998
19,8.661,0.6599999999999995,9.616080000000007
20,8.661,0.66,9.61608
21,8.661,0.66,9.616080000000004
22,8.661,0.66,9.61608
23,8.661,0.66,9.61608
24,8.661,0.66,9.61608
25,8.661,0.66,9.616080000000006
26,8.661,0.66,9.61608
27,8.661,0.66,9.61608
28,8.661,0.66,9.61608
29,8.660999999999973,0.659999999999998,9.616080000000009
30,8.661,0.66,9.61608
31,8.661000000000008,0.6599999999999974,9.616080000000009
32,8.661,0.66,9.61608
33,8.661,0.66,9.61608
34,8.661,0.66,9.61608
35,8.661,0.66,9.616080000000006
36,8.275,0.66,9.230079999999992
37,8.275,0.66,9.23008
38,8.275000000000002,0.66,9.230079999999992
39,8.275,0.66,9.23008
40,8.275,0.66,9.23008
41,8.275000000000002,0.66,9.230079999999992
42,8.275,0.66,9.23008
43,8.275,0.66,9.23008
44,8.275,0.66,9.23008
45,8.274999999999986,0.6599999999999985,9.230080000000012
46,8.275,0.66,9.23008
47,8.275,0.66,9.23008
48,8.275,0.66,9.23008
49,8.275,0.66,9.23008
50,8.275,0.66,9.23008
51,8.275000000000002,0.66,9.230079999999997
52,8.275,0.66,9.23008
53,8.274999999999993,0.6599999999999999,9.23007999999999
54,8.275,0.66,9.23008
55,8.275,0.66,9.23008
56,8.275,0.66,9.23008
57,8.275000000000002,0.66,9.230079999999997
58,8.275,0.66,9.23008
59,8.275,0.66,9.23008
60,8.27499999999999,0.6599999999999994,9.230079999999996
61,8.275,0.66,9.23008
62,8.274999999999984,0.6599999999999983,9.230080000000015
63,8.275,0.66,9.23008
64,8.275,0.66,9.23008
65,8.275,0.66,9.23008
66,8.275000000000004,0.66,9.230079999999994
67,8.275,0.66,9.23008
68,8.275000000000002,0.66,9.230079999999997
69,8.275,0.66,9.23008
70,8.275,0.66,9.23008
71,8.275,0.66,9.23008
72,8.275,0.66,9.23008
73,8.275,0.66,9.23008
74,8.275,0.66,9.23008
75,8.274999999999984,0.659999999999998,9.230080000000017
76,8.275,0.66,9.23008
77,8.275,0.66,9.23008
78,8.275000000000002,0.66,9.230079999999996
79,8.275,0.66,9.23008
80,8.275000000000002,0.66,9.23008
81,7.424000000000005,0.66,8.379079999999995
82,7.424,0.66,8.37908
83,7.424,0.66,8.37908
84,7.424,0.66,8.37908
85,7.424000000000001,0.66,8.37908
86,7.4239999999999915,0.659999999999999,8.379079999999997
87,7.424,0.66,8.37908
88,7.424000000000003,0.66,8.37908
89,7.424,0.66,8.37908
90,7.424,0.66,8.37908
91,7.424,0.66,8.37908
92,7.424,0.66,8.37908
93,7.424,0.66,8.37908
94,7.424,0.66,8.37908
95,7.424,0.66,8.37908
96,7.424000000000002,0.66,8.37908
97,7.424,0.66,8.37908
98,7.424,0.66,8.37908
99,7.424,0.66,8.37908
100,7.424,0.66,8.37908
101,7.424,0.66,8.37908
102,7.424,0.66,8.37908
103,7.424,0.66,8.37908
104,7.424,0.66,8.37908
105,7.424,0.66,8.37908
106,7.424000000000002,0.66,8.37908
107,7.424,0.66,8.37908
108,7.424,0.66,8.37908
109,7.424,0.66,8.37908
110,7.424000000000001,0.66,8.37908
111,7.424,0.66,8.37908
112,7.424,0.66,8.37908
113,7.424,0.66,8.37908
114,7.424000000000002,0.66,8.37908
115,7.424,0.66,8.37908
116,7.424,0.66,8.37908
117,7.424,0.66,8.37908
118,7.424,0.66,8.37908
119,7.424,0.66,8.37908
120,7.424,0.66,8.37908
121,7.424,0.66,8.37908
122,7.424000000000002,0.66,8.37908
123,7.424,0.66,8.37908
124,7.424,0.66,8.37908
125,7.424,0.66,8.37908
126,7.424,0.66,8.37908
127,7.424,0.66,8.37908
128,7.424,0.66,8.37908
129,7.423999999999985,0.6599999999999978,8.379080000000009
130,7.424,0.66,8.37908
131,7.424,0.66,8.37908
132,7.424000000000001,0.66,8.37908
133,7.424,0.66,8.37908
134,7.424,0.66,8.37908
135,7.424000000000002,0.66,8.37908
136,7.424,0.66,8.37908
137,7.424,0.66,8.37908
