Time_Index,CT_NG,ME_NG,MA_NG
0,0.05306,0.05306,0.05306
1,5.45,5.45,5.28
2,5.45,5.45,5.28
3,5.45,5.45,5.28
4,5.45,5.45,5.28
5,5.45,5.45,5.28
6,5.45,5.45,5.28
7,5.45,5.45,5.28
8,5.449999999999998,5.449999999999998,5.28
9,5.45,5.45,5.28
10,5.45,5.45,5.28
11,5.45,5.45,5.28
12,5.449999999999998,5.449999999999998,5.28
13,5.45,5.45,5.28
14,5.45,5.45,5.28
15,5.450000000000001,5.450000000000001,5.28
16,5.45,5.45,5.28
17,5.45,5.45,5.28
18,5.45,5.45,5.28
19,5.45,5.45,5.28
20,5.45,5.45,5.28
21,5.45,5.45,5.28
22,5.45,5.45,5.28
23,5.450000000000001,5.450000000000001,5.28
24,5.45,5.45,5.28
25,5.45,5.45,5.28
26,5.45,5.45,5.28
27,5.45,5.45,5.28
28,5.45,5.45,5.28
29,5.45,5.45,5.279999999999999
30,5.45,5.45,5.28
31,5.45,5.45,5.2799999999999985
32,5.45,5.45,5.28
33,5.45,5.45,5.28
34,5.45,5.45,5.28
35,5.45,5.45,5.28
36,5.45,5.45,5.28
37,5.450000000000001,5.450000000000001,5.279999999999999
38,5.45,5.45,5.28
39,5.45,5.45,5.2799999999999985
40,5.45,5.45,5.28
41,5.449999999999998,5.449999999999998,5.28
42,5.45,5.45,5.28
43,5.45,5.45,5.28
44,5.45,5.45,5.28
45,5.45,5.45,5.28
46,5.45,5.45,5.28
47,5.45,5.45,5.28
48,5.45,5.45,5.28
49,5.450000000000001,5.450000000000001,5.28
50,5.45,5.45,5.28
51,5.45,5.45,5.28
52,5.45,5.45,5.28
53,5.449999999999998,5.449999999999998,5.28
54,5.45,5.45,5.28
55,5.45,5.45,5.28
56,4.090000000000002,4.090000000000002,3.979999999999999
57,4.09,4.09,3.98
58,4.09,4.09,3.98
59,4.09,4.09,3.98
60,4.09,4.09,3.98
61,4.09,4.09,3.98
62,4.09,4.09,3.98
63,4.09,4.09,3.98
64,4.090000000000001,4.090000000000001,3.9799999999999995
65,3.14,3.14,3.69
66,3.14,3.14,3.69
67,3.14,3.14,3.6899999999999995
68,3.14,3.14,3.69
69,3.14,3.14,3.69
70,3.14,3.14,3.69
71,3.14,3.14,3.69
72,3.14,3.14,3.69
73,3.14,3.14,3.69
74,3.14,3.14,3.69
75,3.14,3.14,3.6899999999999995
76,3.14,3.14,3.69
77,3.14,3.14,3.69
78,3.14,3.14,3.69
79,3.14,3.14,3.69
80,3.14,3.14,3.69
81,3.14,3.14,3.69
82,3.14,3.14,3.69
83,3.14,3.14,3.69
84,3.14,3.14,3.6899999999999995
85,3.14,3.14,3.69
86,3.14,3.14,3.6899999999999995
87,3.14,3.14,3.69
88,3.14,3.14,3.69
89,3.14,3.14,3.69
90,3.14,3.14,3.69
91,3.14,3.14,3.69
92,3.14,3.14,3.6899999999999995
93,3.14,3.14,3.69
94,3.14,3.14,3.69
95,3.14,3.14,3.69
96,3.14,3.14,3.69
97,3.14,3.14,3.69
98,3.14,3.14,3.69
99,3.14,3.14,3.69
100,3.14,3.14,3.69
101,3.14,3.14,3.69
102,3.14,3.14,3.69
103,3.14,3.14,3.69
104,3.14,3.14,3.69
105,3.1399999999999997,3.1399999999999997,3.6899999999999995
106,3.14,3.14,3.69
107,3.14,3.14,3.69
108,3.14,3.14,3.6900000000000004
109,3.14,3.14,3.69
110,3.1399999999999997,3.1399999999999997,3.6899999999999995
111,3.14,3.14,3.69
112,3.14,3.14,3.69
113,3.14,3.14,3.69
114,3.14,3.14,3.689999999999999
115,3.14,3.14,3.69
116,3.139999999999999,3.139999999999999,3.69
117,2.129999999999999,2.129999999999999,3.18
118,2.13,2.13,3.18
119,2.1299999999999994,2.1299999999999994,3.18
120,2.13,2.13,3.18
121,2.13,2.13,3.18
122,2.13,2.13,3.18
123,2.13,2.13,3.18
124,2.13,2.13,3.18
125,2.1300000000000003,2.1300000000000003,3.18
126,2.13,2.13,3.18
127,2.1299999999999994,2.1299999999999994,3.18
128,2.13,2.13,3.18
129,2.13,2.13,3.18
130,2.13,2.13,3.18
131,2.13,2.13,3.18
132,2.13,2.13,3.18
133,2.1299999999999994,2.1299999999999994,3.18
134,2.13,2.13,3.18
135,2.1299999999999994,2.1299999999999994,3.18
136,2.13,2.13,3.18
137,2.1299999999999994,2.1299999999999994,3.18
138,1.9399999999999997,1.9399999999999997,1.9499999999999997
139,1.94,1.94,1.95
140,1.9400000000000002,1.9400000000000002,1.9499999999999993
141,1.94,1.94,1.95
142,1.94,1.94,1.95
143,1.94,1.94,1.95
144,1.9399999999999995,1.9399999999999995,1.9500000000000004
145,1.94,1.94,1.95
146,1.94,1.94,1.95
147,1.8790476190476186,1.8790476190476186,2.0922222222222224
148,1.82,1.82,2.23
149,1.8199999999999996,1.8199999999999996,2.2300000000000013
150,1.82,1.82,2.23
151,1.8199999999999998,1.8199999999999998,2.23
152,1.82,1.82,2.23
