Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,1,8736,200928.0,1,11998.282403627723,1,1,0,1
,,,,,,,2,11362.61181270705,1,0,1,6
,,,,,,,3,11536.91832126172,1,0,1,1
,,,,,,,4,12163.536641109158,1,0,1,1
,,,,,,,5,12771.044610913093,1,0,1,1
,,,,,,,6,13382.37465072573,1,0,1,3
,,,,,,,7,13251.31788174319,1,0,1,1
,,,,,,,8,13109.297806683067,1,0,1,1
,,,,,,,9,13175.681127886808,1,0,1,1
,,,,,,,10,15672.498651465101,1,0,1,17
,,,,,,,11,13920.984779583358,1,0,1,1
,,,,,,,12,14824.401432692453,1,0,1,3
,,,,,,,13,14695.859183452483,1,0,1,1
,,,,,,,14,14633.19735146774,1,0,1,1
,,,,,,,15,17615.719508520073,1,0,1,18
,,,,,,,16,16649.842185005637,1,0,1,1
,,,,,,,17,16852.11015309764,1,0,1,3
,,,,,,,18,16752.233428922922,1,0,1,1
,,,,,,,19,16672.372281899028,1,0,1,1
,,,,,,,20,19654.492115792553,1,0,1,17
,,,,,,,21,18174.244633738825,1,0,1,1
,,,,,,,22,18150.80930973811,1,0,1,4
,,,,,,,23,17561.607043660053,1,0,1,2
,,,,,,,24,17588.66327609006,1,0,1,1
,,,,,,,25,19777.20067922977,1,0,1,3
,,,,,,,26,19161.646246249624,1,0,1,1
,,,,,,,27,18419.36001824415,1,0,1,1
,,,,,,,28,17217.419581297625,1,0,1,7
,,,,,,,29,12845.172652923939,1,0,1,1
,,,,,,,30,17073.89079439196,1,0,1,3
,,,,,,,31,17295.36969331717,1,0,1,2
,,,,,,,32,17245.682783204065,1,0,1,2
,,,,,,,33,16792.16400243487,1,0,1,1
,,,,,,,34,16696.008767479147,1,0,1,1
,,,,,,,35,16558.01192400713,1,0,1,1
,,,,,,,36,18861.91549293576,1,0,1,13
,,,,,,,37,12375.460365012617,1,0,1,1
,,,,,,,38,16534.777761585818,1,0,1,3
,,,,,,,39,16679.31235638851,1,0,1,1
