Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,1,8736,200928.0,1,11998.282403627723,1,1,0,1
,,,,,,,2,11362.61181270705,1,0,1,1
,,,,,,,3,10755.103842903114,1,0,1,2
,,,,,,,4,10599.203618864025,1,0,1,1
,,,,,,,5,10993.98321844688,1,0,1,2
,,,,,,,6,11536.91832126172,1,0,1,1
,,,,,,,7,12163.536641109158,1,0,1,1
,,,,,,,8,12771.044610913093,1,0,1,1
,,,,,,,9,13283.336099798531,1,0,1,3
,,,,,,,10,13251.31788174319,1,0,1,1
,,,,,,,11,13109.297806683067,1,0,1,1
,,,,,,,12,13175.681127886808,1,0,1,1
,,,,,,,13,12437.663297144341,1,0,1,16
,,,,,,,14,13039.192996260326,1,0,1,1
,,,,,,,15,13920.984779583358,1,0,1,1
,,,,,,,16,14729.821963442073,1,0,1,3
,,,,,,,17,14695.859183452483,1,0,1,1
,,,,,,,18,14633.19735146774,1,0,1,1
,,,,,,,19,14235.80983569474,1,0,1,14
,,,,,,,20,12964.863792670078,1,0,1,1
,,,,,,,21,15103.211381748168,1,0,1,1
,,,,,,,22,16297.407097887592,1,0,1,1
,,,,,,,23,16500.58029308692,1,0,1,1
,,,,,,,24,16649.842185005637,1,0,1,1
,,,,,,,25,16831.239639234343,1,0,1,2
,,,,,,,26,16793.974456649517,1,0,1,1
,,,,,,,27,16752.233428922922,1,0,1,1
,,,,,,,28,16672.372281899028,1,0,1,1
,,,,,,,29,17540.635949007054,1,0,1,2
,,,,,,,30,19620.294647293653,1,0,1,1
,,,,,,,31,16021.894761865702,1,0,1,14
,,,,,,,32,18174.244633738825,1,0,1,1
,,,,,,,33,18137.88467826132,1,0,1,2
,,,,,,,34,17844.892837857537,1,0,1,2
,,,,,,,35,17491.30107165791,1,0,1,2
,,,,,,,36,17588.66327609006,1,0,1,1
,,,,,,,37,18800.76237279656,1,0,1,1
,,,,,,,38,19703.776702746844,1,0,1,2
,,,,,,,39,19161.646246249624,1,0,1,1
,,,,,,,40,18419.36001824415,1,0,1,1
,,,,,,,41,14040.934555645874,1,0,1,7
,,,,,,,42,12845.172652923939,1,0,1,1
,,,,,,,43,13909.317407977851,1,0,1,1
,,,,,,,44,15913.892546751433,1,0,1,1
,,,,,,,45,17073.89079439196,1,0,1,1
,,,,,,,46,17249.404272423064,1,0,1,2
,,,,,,,47,17129.662842282072,1,0,1,2
,,,,,,,48,16792.16400243487,1,0,1,1
,,,,,,,49,16696.008767479147,1,0,1,1
,,,,,,,50,16558.01192400713,1,0,1,1
,,,,,,,51,17794.30788497923,1,0,1,7
,,,,,,,52,15010.67705522174,1,0,1,1
,,,,,,,53,12626.308854530997,1,0,1,5
,,,,,,,54,12375.460365012617,1,0,1,1
,,,,,,,55,13417.47734633195,1,0,1,1
,,,,,,,56,15368.744666563134,1,0,1,1
,,,,,,,57,16534.777761585818,1,0,1,1
,,,,,,,58,16679.31235638851,1,0,1,1
,,,,,,,59,16704.055230655358,1,0,1,1
,,,,,,,60,16659.799683186196,1,0,1,1
,,,,,,,61,16191.964903349326,1,0,1,3
,,,,,,,62,15755.477802969777,1,0,1,1
,,,,,,,63,15818.340796533927,1,0,1,1
,,,,,,,64,16936.65836492168,1,0,1,5
,,,,,,,65,15295.320690080207,1,0,1,1
,,,,,,,66,14124.560297941498,1,0,1,1
,,,,,,,67,11643.064581327906,1,0,1,6
,,,,,,,68,11624.121865933908,1,0,1,1
,,,,,,,69,12386.524251879908,1,0,1,1
,,,,,,,70,13175.077643148592,1,0,1,1
,,,,,,,71,14024.180669818265,1,0,1,1
,,,,,,,72,14556.655370504031,1,0,1,1
,,,,,,,73,14710.745140328472,1,0,1,1
,,,,,,,74,14454.515578561004,1,0,1,2
,,,,,,,75,14012.412717423056,1,0,1,1
,,,,,,,76,13784.094324798067,1,0,1,1
