Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,1.0,1.0,0.0,0.569944978,0.0,0.920104027,1.0,1.0,1.0
2,1.0,1.0,1.0,0.0,0.623258889,0.0,0.882233679,1.0,1.0,1.0
3,1.0,1.0,1.0,0.0,0.694188416,0.0,0.89507395,1.0,1.0,1.0
4,1.0,1.0,1.0,0.0,0.647399664,0.0,0.87304908,1.0,1.0,1.0
5,1.0,1.0,1.0,0.0,0.381773531,0.0,0.831012249,1.0,1.0,1.0
6,1.0,1.0,1.0,0.0,0.244582877,0.0,0.776541591,1.0,1.0,1.0
7,1.0,1.0,1.0,0.0,0.293396771,0.0,0.704862773,1.0,1.0,1.0
8,1.0,1.0,1.0,0.0,0.37860319,0.0,0.64796108,1.0,1.0,1.0
9,1.0,1.0,1.0,0.1779,0.329338044,0.2003,0.526324749,1.0,1.0,1.0
10,1.0,1.0,1.0,0.429,1.52e-5,0.4221,0.079201177,1.0,1.0,1.0
11,1.0,1.0,1.0,0.5748,4.55e-5,0.5774,0.02501085,1.0,1.0,1.0
12,1.0,1.0,1.0,0.6484,0.00057204,0.6504,0.006543793,1.0,1.0,1.0
13,1.0,1.0,1.0,0.6208,0.086801805,0.6166,0.012104483,1.0,1.0,1.0
14,1.0,1.0,1.0,0.596,0.341097623,0.6205,0.018969901,1.0,1.0,1.0
15,1.0,1.0,1.0,0.5013,0.326572925,0.513,0.034807973,1.0,1.0,1.0
16,1.0,1.0,1.0,0.3311,0.38522929,0.3369,0.089363858,1.0,1.0,1.0
17,1.0,1.0,1.0,0.0642,0.25948137,0.1068,0.198931903,1.0,1.0,1.0
18,1.0,1.0,1.0,0.0,0.818314612,0.0,0.486049294,1.0,1.0,1.0
19,1.0,1.0,1.0,0.0,0.947374165,0.0,0.695741773,1.0,1.0,1.0
20,1.0,1.0,1.0,0.0,0.884191096,0.0,0.893018901,1.0,1.0,1.0
21,1.0,1.0,1.0,0.0,0.863175511,0.0,0.884643197,1.0,1.0,1.0
22,1.0,1.0,1.0,0.0,0.935150564,0.0,0.961134374,1.0,1.0,1.0
23,1.0,1.0,1.0,0.0,0.973402262,0.0,0.955752611,1.0,1.0,1.0
24,1.0,1.0,1.0,0.0,0.746089995,0.0,0.952378809,1.0,1.0,1.0
25,1.0,1.0,1.0,0.0,0.433065981,0.0,0.905306697,1.0,1.0,1.0
26,1.0,1.0,1.0,0.0,0.503579199,0.0,0.868118405,1.0,1.0,1.0
27,1.0,1.0,1.0,0.0,0.820716262,0.0,0.810200989,1.0,1.0,1.0
28,1.0,1.0,1.0,0.0,0.861984015,0.0,0.878156662,1.0,1.0,1.0
29,1.0,1.0,1.0,0.0,0.635637224,0.0,0.943921924,1.0,1.0,1.0
30,1.0,1.0,1.0,0.0,0.684829473,0.0,0.907720923,1.0,1.0,1.0
31,1.0,1.0,1.0,0.0,0.745589137,0.0,0.828339458,1.0,1.0,1.0
32,1.0,1.0,1.0,0.0,0.27747938,0.0,0.849667013,1.0,1.0,1.0
33,1.0,1.0,1.0,0.16,0.655076563,0.1615,0.907849193,1.0,1.0,1.0
34,1.0,1.0,1.0,0.3418,0.843971074,0.4263,0.964260221,1.0,1.0,1.0
35,1.0,1.0,1.0,0.4952,0.989659667,0.57,0.942756534,1.0,1.0,1.0
36,1.0,1.0,1.0,0.5654,0.995543838,0.6482,0.85308063,1.0,1.0,1.0
37,1.0,1.0,1.0,0.5713,1.0,0.6314,0.791825891,1.0,1.0,1.0
38,1.0,1.0,1.0,0.5414,1.0,0.5409,0.882102609,1.0,1.0,1.0
39,1.0,1.0,1.0,0.4677,0.998463929,0.4277,0.888284206,1.0,1.0,1.0
40,1.0,1.0,1.0,0.3193,0.957467973,0.3402,0.899303496,1.0,1.0,1.0
41,1.0,1.0,1.0,0.1003,0.884891868,0.1301,0.918197513,1.0,1.0,1.0
42,1.0,1.0,1.0,0.0,0.697858751,0.0,0.785050571,1.0,1.0,1.0
43,1.0,1.0,1.0,0.0,0.532083452,0.0,0.849610209,1.0,1.0,1.0
44,1.0,1.0,1.0,0.0,0.179168805,0.0,0.890681326,1.0,1.0,1.0
45,1.0,1.0,1.0,0.0,0.460624933,0.0,0.895241141,1.0,1.0,1.0
46,1.0,1.0,1.0,0.0,0.575961411,0.0,0.842129111,1.0,1.0,1.0
47,1.0,1.0,1.0,0.0,0.526084423,0.0,0.778776944,1.0,1.0,1.0
48,1.0,1.0,1.0,0.0,0.570720732,0.0,0.798049688,1.0,1.0,1.0
49,1.0,1.0,1.0,0.0,0.616125405,0.0,0.865914464,1.0,1.0,1.0
50,1.0,1.0,1.0,0.0,0.687053382,0.0,0.807153344,1.0,1.0,1.0
51,1.0,1.0,1.0,0.0,0.553053379,0.0,0.573096633,1.0,1.0,1.0
52,1.0,1.0,1.0,0.0,0.677880645,0.0,0.476775587,1.0,1.0,1.0
53,1.0,1.0,1.0,0.0,0.80630821,0.0,0.574992657,1.0,1.0,1.0
54,1.0,1.0,1.0,0.0,0.801423192,0.0,0.604182601,1.0,1.0,1.0
55,1.0,1.0,1.0,0.0,0.736126423,0.0,0.744862914,1.0,1.0,1.0
56,1.0,1.0,1.0,0.0,0.630956411,0.0,0.792550921,1.0,1.0,1.0
57,1.0,1.0,1.0,0.2147,0.731341124,0.1899,0.87292397,1.0,1.0,1.0
58,1.0,1.0,1.0,0.436,0.992636561,0.4305,0.912224948,1.0,1.0,1.0
59,1.0,1.0,1.0,0.5787,1.0,0.5707,0.980872095,1.0,1.0,1.0
60,1.0,1.0,1.0,0.632,1.0,0.6554,0.994781852,1.0,1.0,1.0
61,1.0,1.0,1.0,0.6451,1.0,0.6621,0.988758683,1.0,1.0,1.0
62,1.0,1.0,1.0,0.6207,1.0,0.6529,0.998735309,1.0,1.0,1.0
63,1.0,1.0,1.0,0.5504,1.0,0.5731,0.996199667,1.0,1.0,1.0
64,1.0,1.0,1.0,0.3781,0.999652565,0.4127,0.983224452,1.0,1.0,1.0
65,1.0,1.0,1.0,0.1371,0.945950031,0.1725,0.998122811,1.0,1.0,1.0
66,1.0,1.0,1.0,0.0,0.987837434,0.0,0.997993112,1.0,1.0,1.0
67,1.0,1.0,1.0,0.0,1.0,0.0,0.997174382,1.0,1.0,1.0
68,1.0,1.0,1.0,0.0,0.958051622,0.0,0.987223804,1.0,1.0,1.0
69,1.0,1.0,1.0,0.0,1.0,0.0,0.981596351,1.0,1.0,1.0
70,1.0,1.0,1.0,0.0,0.996488094,0.0,0.992870092,1.0,1.0,1.0
71,1.0,1.0,1.0,0.0,0.997731447,0.0,0.954669297,1.0,1.0,1.0
72,1.0,1.0,1.0,0.0,0.997055888,0.0,0.9347471,1.0,1.0,1.0
73,1.0,1.0,1.0,0.0,1.0,0.0,0.978952587,1.0,1.0,1.0
74,1.0,1.0,1.0,0.0,0.999057055,0.0,0.945270836,1.0,1.0,1.0
75,1.0,1.0,1.0,0.0,0.964799762,0.0,0.929749548,1.0,1.0,1.0
76,1.0,1.0,1.0,0.0,0.929325104,0.0,0.909057319,1.0,1.0,1.0
77,1.0,1.0,1.0,0.0,0.906229854,0.0,0.901528418,1.0,1.0,1.0
78,1.0,1.0,1.0,0.0,0.809327066,0.0,0.910134673,1.0,1.0,1.0
79,1.0,1.0,1.0,0.0,0.651830137,0.0,0.867187142,1.0,1.0,1.0
80,1.0,1.0,1.0,0.0,0.48080951,0.0,0.876390636,1.0,1.0,1.0
81,1.0,1.0,1.0,0.2277,0.378751755,0.2204,0.823099732,1.0,1.0,1.0
82,1.0,1.0,1.0,0.4502,0.383687705,0.4435,0.801250398,1.0,1.0,1.0
83,1.0,1.0,1.0,0.6046,0.43698281,0.5641,0.801717401,1.0,1.0,1.0
84,1.0,1.0,1.0,0.6791,0.027345492,0.6709,0.240071028,1.0,1.0,1.0
85,1.0,1.0,1.0,0.6728,0.000123209,0.6513,0.299450189,1.0,1.0,1.0
86,1.0,1.0,1.0,0.6482,5.38e-5,0.6024,0.186628819,1.0,1.0,1.0
87,1.0,1.0,1.0,0.528,6.64e-5,0.4635,0.105973914,1.0,1.0,1.0
88,1.0,1.0,1.0,0.3343,0.002060085,0.305,0.071392164,1.0,1.0,1.0
89,1.0,1.0,1.0,0.028,5.04e-5,0.0783,0.033698864,1.0,1.0,1.0
90,1.0,1.0,1.0,0.0,0.097491965,0.0,0.225880757,1.0,1.0,1.0
91,1.0,1.0,1.0,0.0,0.291266352,0.0,0.277302444,1.0,1.0,1.0
92,1.0,1.0,1.0,0.0,0.210415676,0.0,0.370590001,1.0,1.0,1.0
93,1.0,1.0,1.0,0.0,0.223368809,0.0,0.342927366,1.0,1.0,1.0
94,1.0,1.0,1.0,0.0,0.409326077,0.0,0.468558729,1.0,1.0,1.0
95,1.0,1.0,1.0,0.0,0.685454428,0.0,0.585748136,1.0,1.0,1.0
96,1.0,1.0,1.0,0.0,0.560226202,0.0,0.687084079,1.0,1.0,1.0
97,1.0,1.0,1.0,0.0,0.414616615,0.0,0.582934856,1.0,1.0,1.0
98,1.0,1.0,1.0,0.0,0.492882252,0.0,0.574557364,1.0,1.0,1.0
99,1.0,1.0,1.0,0.0,0.543901205,0.0,0.535381913,1.0,1.0,1.0
100,1.0,1.0,1.0,0.0,0.584094465,0.0,0.601786137,1.0,1.0,1.0
101,1.0,1.0,1.0,0.0,0.575396657,0.0,0.5711748,1.0,1.0,1.0
102,1.0,1.0,1.0,0.0,0.222339511,0.0,0.524353385,1.0,1.0,1.0
103,1.0,1.0,1.0,0.0,0.063489825,0.0,0.469980359,1.0,1.0,1.0
104,1.0,1.0,1.0,0.0,0.034827486,0.0,0.364646316,1.0,1.0,1.0
105,1.0,1.0,1.0,0.1033,0.0359466,0.1154,0.391142845,1.0,1.0,1.0
106,1.0,1.0,1.0,0.2804,0.168909371,0.2997,0.372059673,1.0,1.0,1.0
107,1.0,1.0,1.0,0.4372,0.119043224,0.4896,0.292032659,1.0,1.0,1.0
108,1.0,1.0,1.0,0.5913,0.057592459,0.5795,0.214939833,1.0,1.0,1.0
109,1.0,1.0,1.0,0.5349,0.084502511,0.5517,0.320211053,1.0,1.0,1.0
110,1.0,1.0,1.0,0.4854,0.249637455,0.4408,0.390997708,1.0,1.0,1.0
111,1.0,1.0,1.0,0.3973,0.350143909,0.4072,0.371668875,1.0,1.0,1.0
112,1.0,1.0,1.0,0.2948,0.742475271,0.3063,0.564464331,1.0,1.0,1.0
113,1.0,1.0,1.0,0.0897,0.870121062,0.1054,0.659781039,1.0,1.0,1.0
114,1.0,1.0,1.0,0.0,0.958805382,0.0,0.668345809,1.0,1.0,1.0
115,1.0,1.0,1.0,0.0,0.799080312,0.0,0.775924802,1.0,1.0,1.0
116,1.0,1.0,1.0,0.0,0.399789095,0.0,0.654665828,1.0,1.0,1.0
117,1.0,1.0,1.0,0.0,0.343781441,0.0,0.754780889,1.0,1.0,1.0
118,1.0,1.0,1.0,0.0,0.002315517,0.0,0.167690724,1.0,1.0,1.0
119,1.0,1.0,1.0,0.0,0.094827555,0.0,0.573313653,1.0,1.0,1.0
120,1.0,1.0,1.0,0.0,0.031066958,0.0,0.43366161,1.0,1.0,1.0
121,1.0,1.0,1.0,0.0,0.097598262,0.0,0.349793971,1.0,1.0,1.0
122,1.0,1.0,1.0,0.0,0.058144085,0.0,0.266512692,1.0,1.0,1.0
123,1.0,1.0,1.0,0.0,0.142925054,0.0,0.180226371,1.0,1.0,1.0
124,1.0,1.0,1.0,0.0,0.373674929,0.0,0.118735507,1.0,1.0,1.0
125,1.0,1.0,1.0,0.0,0.434153348,0.0,0.091907203,1.0,1.0,1.0
126,1.0,1.0,1.0,0.0,0.435889482,0.0,0.070327573,1.0,1.0,1.0
127,1.0,1.0,1.0,0.0,0.563583791,0.0,0.099923894,1.0,1.0,1.0
128,1.0,1.0,1.0,0.0,0.845474541,0.0,0.154476166,1.0,1.0,1.0
129,1.0,1.0,1.0,0.1023,0.694941878,0.139,0.193684876,1.0,1.0,1.0
130,1.0,1.0,1.0,0.2939,0.832901537,0.4082,0.242370129,1.0,1.0,1.0
131,1.0,1.0,1.0,0.5036,0.784772754,0.5689,0.246076912,1.0,1.0,1.0
132,1.0,1.0,1.0,0.62,0.584573805,0.6386,0.237035424,1.0,1.0,1.0
133,1.0,1.0,1.0,0.5947,0.526055634,0.5749,0.226963848,1.0,1.0,1.0
134,1.0,1.0,1.0,0.4261,0.535089731,0.557,0.258899093,1.0,1.0,1.0
135,1.0,1.0,1.0,0.3649,0.20891723,0.3724,0.195579961,1.0,1.0,1.0
136,1.0,1.0,1.0,0.1992,0.3200486,0.1936,0.375185788,1.0,1.0,1.0
137,1.0,1.0,1.0,0.0151,0.762181401,0.0704,0.408885181,1.0,1.0,1.0
138,1.0,1.0,1.0,0.0,0.967575073,0.0,0.427647233,1.0,1.0,1.0
139,1.0,1.0,1.0,0.0,0.947055817,0.0,0.428736746,1.0,1.0,1.0
140,1.0,1.0,1.0,0.0,0.922798336,0.0,0.413813174,1.0,1.0,1.0
141,1.0,1.0,1.0,0.0,0.981649756,0.0,0.354275286,1.0,1.0,1.0
142,1.0,1.0,1.0,0.0,0.987221539,0.0,0.335782766,1.0,1.0,1.0
143,1.0,1.0,1.0,0.0,0.972513497,0.0,0.419259131,1.0,1.0,1.0
