Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1.0,1.0,2000,80,48,96.26373626373628,1,7850.0,2242.0,1070.0
,2,0.9,0.04,1800,,,96.26373626373628,2,7424.0,2120.0,1012.0
,3,0.55,0.024,1100,,,96.26373626373628,3,7107.0,2029.0,969.0
,4,0.2,0.003,400,,,48.13186813186814,4,6947.0,1984.0,947.0
,,,,,,,96.26373626373628,5,6922.0,1977.0,944.0
,,,,,,,96.26373626373628,6,7045.0,2012.0,960.0
,,,,,,,48.13186813186814,7,7307.0,2087.0,996.0
,,,,,,,96.26373626373628,8,7544.0,2154.0,1029.0
,,,,,,,48.13186813186814,9,7946.0,2269.0,1083.0
,,,,,,,48.13186813186814,10,8340.0,2382.0,1137.0
,,,,,,,96.26373626373628,11,8578.0,2449.0,1169.0
,,,,,,,96.26373626373628,12,8666.0,2474.0,1181.0
,,,,,,,144.3956043956044,13,8707.0,2487.0,1187.0
,,,,,,,48.13186813186814,14,8630.0,2464.0,1176.0
,,,,,,,144.3956043956044,15,8544.0,2440.0,1165.0
,,,,,,,48.13186813186814,16,8594.0,2454.0,1171.0
,,,,,,,192.52747252747255,17,9431.0,2693.0,1286.0
,,,,,,,96.26373626373628,18,10225.0,2920.0,1394.0
,,,,,,,96.26373626373628,19,10165.0,2903.0,1386.0
,,,,,,,96.26373626373628,20,9854.0,2815.0,1343.0
,,,,,,,48.13186813186814,21,9490.0,2710.0,1294.0
,,,,,,,144.3956043956044,22,8982.0,2565.0,1225.0
,,,,,,,48.13186813186814,23,8353.0,2385.0,1139.0
,,,,,,,96.26373626373628,24,7648.0,2184.0,1042.0
,,,,,,,96.26373626373628,25,7051.0,2013.0,961.0
,,,,,,,96.26373626373628,26,6689.0,1910.0,912.0
,,,,,,,144.3956043956044,27,6515.0,1861.0,888.0
,,,,,,,48.13186813186814,28,6476.0,1849.0,883.0
,,,,,,,192.52747252747255,29,6618.0,1890.0,902.0
,,,,,,,48.13186813186814,30,6980.0,1993.0,951.0
,,,,,,,48.13186813186814,31,7523.0,2148.0,1025.0
,,,,,,,96.26373626373628,32,7968.0,2275.0,1086.0
,,,,,,,144.3956043956044,33,8513.0,2431.0,1161.0
,,,,,,,336.92307692307696,34,9072.0,2591.0,1236.0
,,,,,,,48.13186813186814,35,9482.0,2708.0,1292.0
,,,,,,,144.3956043956044,36,9650.0,2755.0,1316.0
,,,,,,,144.3956043956044,37,9635.0,2751.0,1313.0
,,,,,,,48.13186813186814,38,9572.0,2734.0,1305.0
,,,,,,,144.3956043956044,39,9542.0,2725.0,1301.0
,,,,,,,48.13186813186814,40,9687.0,2766.0,1321.0
,,,,,,,192.52747252747255,41,10596.0,3026.0,1444.0
,,,,,,,48.13186813186814,42,11515.0,3289.0,1570.0
,,,,,,,96.26373626373628,43,11414.0,3260.0,1556.0
,,,,,,,96.26373626373628,44,11138.0,3181.0,1519.0
,,,,,,,96.26373626373628,45,10688.0,3052.0,1457.0
,,,,,,,288.7912087912088,46,9979.0,2850.0,1360.0
,,,,,,,336.92307692307696,47,9100.0,2599.0,1241.0
,,,,,,,96.26373626373628,48,8304.0,2372.0,1132.0
,,,,,,,192.52747252747255,49,7776.0,2221.0,1060.0
,,,,,,,144.3956043956044,50,7513.0,2145.0,1024.0
,,,,,,,96.26373626373628,51,7386.0,2109.0,1007.0
,,,,,,,96.26373626373628,52,7401.0,2114.0,1009.0
,,,,,,,336.92307692307696,53,7667.0,2189.0,1045.0
,,,,,,,96.26373626373628,54,8455.0,2414.0,1152.0
,,,,,,,144.3956043956044,55,9848.0,2812.0,1343.0
,,,,,,,144.3956043956044,56,10629.0,3035.0,1449.0
,,,,,,,192.52747252747255,57,10761.0,3073.0,1467.0
,,,,,,,192.52747252747255,58,10835.0,3094.0,1477.0
,,,,,,,48.13186813186814,59,10932.0,3122.0,1490.0
,,,,,,,144.3956043956044,60,10950.0,3127.0,1493.0
,,,,,,,48.13186813186814,61,10905.0,3115.0,1487.0
,,,,,,,48.13186813186814,62,10890.0,3111.0,1484.0
,,,,,,,48.13186813186814,63,10849.0,3098.0,1479.0
,,,,,,,96.26373626373628,64,10999.0,3141.0,1499.0
,,,,,,,96.26373626373628,65,11858.0,3386.0,1616.0
,,,,,,,96.26373626373628,66,12796.0,3654.0,1745.0
,,,,,,,240.65934065934064,67,12821.0,3661.0,1748.0
,,,,,,,48.13186813186814,68,12605.0,3600.0,1719.0
,,,,,,,48.13186813186814,69,12195.0,3483.0,1663.0
,,,,,,,96.26373626373628,70,11476.0,3277.0,1565.0
,,,,,,,48.13186813186814,71,10515.0,3003.0,1434.0
,,,,,,,144.3956043956044,72,9674.0,2763.0,1319.0
,,,,,,,96.26373626373628,73,9151.0,2614.0,1247.0
,,,,,,,48.13186813186814,74,8876.0,2535.0,1210.0
